,hall,pedersen
71.86440625,1.706753731553546e-05,1.1060738341710619e-05
76.99803125,5.471086779898859e-05,1.6435529928100717e-05
82.3137265625,0.00010991145284977963,1.5142824921465125e-05
87.49156640625,0.00015984327045318004,1.1436430951098629e-05
92.85409765624999,0.0002056153318773576,1.0857152074540324e-05
98.03249609375,0.00025986208070430313,1.8611364096893723e-05
101.6192890625,0.00031227209611158277,3.563621254503499e-05
106.9768515625,0.00030182001024069464,8.292277201971807e-05
112.16109765625,0.00022269500404338715,0.0001341968120567341
117.574828125,0.00010991326735295079,0.00013511888536146127
122.80191015625,4.39699665865829e-05,9.387352417934624e-05
128.181421875,1.781065214716603e-05,5.9998995074832954e-05
133.45509375,8.148949886161107e-06,4.02211473669557e-05
137.0747890625,4.922975279261651e-06,3.078886421230973e-05
142.48175,2.404518688916989e-06,2.0572639793230943e-05
147.828484375,1.3558055029898157e-06,1.55161599541784e-05
151.4658046875,9.046309230957727e-07,1.2484537977118965e-05
156.875453125,4.992835261364735e-07,8.885359536259396e-06
162.2376015625,3.2325009799270824e-07,7.277184613969259e-06
167.719953125,1.9088076893344342e-07,5.3626536331873435e-06
173.0984609375,1.3051564874265583e-07,4.549959397863408e-06
176.767390625,1.005766692506623e-07,4.060303748496312e-06
182.251625,6.157709216456985e-08,3.018469319620041e-06
187.6468515625,4.5380836380615726e-08,2.7110196014658442e-06
193.198875,3.023438761388896e-08,2.1215974904120304e-06
198.562734375,2.2593761549176237e-08,1.93360217956072e-06
202.27490625,1.8284358318839052e-08,1.7394662489297211e-06
207.843140625,1.298434668216539e-08,1.4637705867544898e-06
213.24282812500002,9.771908348917476e-09,1.292186605370165e-06
216.97734375,7.926769398006387e-09,1.1750737757271514e-06
222.5595390625,5.627231235011193e-09,9.721005800156512e-07
228.05640625,4.3451961098154466e-09,8.927666385504568e-07
231.80996875,3.551963971531053e-09,8.10337406416751e-07
237.355859375,2.4638697955849934e-09,6.535017134301883e-07
242.89573437500002,1.8824439116212287e-09,5.830783339695086e-07
246.669859375,1.4992925312705471e-09,5.201008981875466e-07
252.23984375,1.0529863266000345e-09,4.2144991467920333e-07
257.810984375,7.961959923689559e-10,3.74284639962626e-07
261.604671875,6.453795394957817e-10,3.3509949668525103e-07
267.19815625,4.3752997927334024e-10,2.593059207112331e-07
272.80440625,3.48895029481494e-10,2.427784520002784e-07
276.616703125,2.7811518593978587e-10,2.1425495018399558e-07
282.235859375,1.892129411423059e-10,1.6610617425420762e-07
287.87215625,1.5485759205634144e-10,1.5612053142101954e-07
291.703984375,1.281360544341524e-10,1.4297091187432137e-07
297.350078125,8.486857881073066e-11,1.0656594118598373e-07
303.01440625,7.04978600414406e-11,1.0295243636576487e-07
306.86671875,5.887424738674943e-11,9.522459325570104e-08
312.53903125,4.0055291083762775e-11,7.120179628074877e-08
318.1761875,3.367125509140455e-11,7.133385383863882e-08
322.0495625,2.8381522975378462e-11,6.49253768420172e-08
327.794875,1.9299174946143187e-11,4.876583585271753e-08
333.46778125,1.6452563215883288e-11,4.868108203891218e-08
337.35690625,1.3540039773955446e-11,4.428314052173632e-08
341.251296875,1.199995460512779e-11,4.218261671615002e-08
346.976421875,7.76184301560442e-12,3.109189488765164e-08
352.74125,6.883464863164521e-12,3.1325670777791444e-08
356.654296875,6.113182935764175e-12,2.9443568357723345e-08
362.40540625,4.1840510825977585e-12,2.230853816173744e-08
368.141828125,3.689271077793323e-12,2.2781434240126254e-08
372.072171875,3.139429307553759e-12,2.1386662199048024e-08
377.902625,2.003912319054404e-12,1.5583795441343116e-08
383.669265625,1.925883619782044e-12,1.6566687525919357e-08
387.619796875,1.61372012701574e-12,1.5331069759836708e-08
391.57278125,1.33795144555345e-12,1.3845202981457863e-08
397.384453125,9.18058985460442e-13,1.0470826958545252e-08
403.18115625,8.594286172539291e-13,1.12929964451687e-08
407.153609375,7.388747980886348e-13,1.0110975003400927e-08
413.042171875,4.690730743600626e-13,7.469874789099933e-09
418.871359375,4.4212172821786655e-13,7.968350041126483e-09
422.860109375,3.5625813839867183e-13,7.1944996886595145e-09
426.854984375,3.190355458282133e-13,6.765469729370949e-09
432.71829687499996,2.0363071061386376e-13,4.987019000979457e-09
438.582140625,2.0159069497661943e-13,5.467965606680268e-09
442.594796875,1.6688791668515524e-13,4.997349736176189e-09
446.6104375,1.403559538553758e-13,4.579141243326674e-09
452.50159375,1.1048288496736652e-13,3.675185638659244e-09
458.402671875,9.59533350512201e-14,3.824387471925942e-09
462.43815625,8.2138045331581e-14,3.5324690725278487e-09
466.476296875,6.68635237856696e-14,3.236305213533405e-09
472.40240625,4.262001542760118e-14,2.3397571521490927e-09
478.3320625,4.165560124091038e-14,2.5437000742774964e-09
482.38907812499997,3.354535917592714e-14,2.2456416319637745e-09
486.45009375,2.939327934275665e-14,2.144472322757094e-09
492.408375,1.8719578570678212e-14,1.5577989021194452e-09
498.3698125,1.9765480755518503e-14,1.7942573774634729e-09
